epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,947.258,1.15743,0.63622,1.15754,0.89861,0.84413,0.92926,0.53275,1.56771,0.77899,1.42222,0.0003368,0.0003368,0.0003368
86,958.668,1.15229,0.66456,1.18229,0.88238,0.91858,0.94654,0.5354,1.4993,0.75137,1.40893,0.000317,0.000317,0.000317
87,969.948,1.1259,0.65116,1.15279,0.88013,0.92517,0.95069,0.55934,1.49798,0.7329,1.3875,0.0002972,0.0002972,0.0002972
88,981.354,1.12508,0.64741,1.15668,0.86119,0.91156,0.9416,0.54513,1.50418,0.74129,1.39837,0.0002774,0.0002774,0.0002774
89,992.668,1.12706,0.65193,1.15067,0.90064,0.92493,0.95371,0.55049,1.50584,0.73492,1.39919,0.0002576,0.0002576,0.0002576
90,1003.38,1.10398,0.63556,1.12492,0.89041,0.93197,0.95487,0.54792,1.518,0.74007,1.41759,0.0002378,0.0002378,0.0002378
91,1016.08,1.12132,0.62158,1.17292,0.93483,0.87075,0.94847,0.5233,1.58069,0.75915,1.44315,0.000218,0.000218,0.000218
92,1027.1,1.12127,0.61447,1.17278,0.85877,0.91002,0.94541,0.52036,1.58902,0.75042,1.48087,0.0001982,0.0001982,0.0001982
93,1038.25,1.09086,0.60235,1.1479,0.88611,0.89976,0.93743,0.53056,1.54941,0.7659,1.45009,0.0001784,0.0001784,0.0001784
94,1049.2,1.08449,0.5892,1.1474,0.87263,0.91837,0.94759,0.52939,1.54604,0.75875,1.44625,0.0001586,0.0001586,0.0001586
95,1060.14,1.05862,0.56736,1.12784,0.88211,0.93878,0.95785,0.53472,1.52092,0.76208,1.42797,0.0001388,0.0001388,0.0001388
96,1071.12,1.0593,0.57476,1.1277,0.86225,0.8942,0.93648,0.53525,1.515,0.74996,1.43429,0.000119,0.000119,0.000119
97,1081.61,1.07212,0.58377,1.14836,0.90415,0.87075,0.93993,0.53977,1.54401,0.73036,1.44536,9.92e-05,9.92e-05,9.92e-05
98,1092.64,1.07482,0.57501,1.14684,0.84606,0.91156,0.93941,0.5453,1.5306,0.71701,1.43981,7.94e-05,7.94e-05,7.94e-05
99,1103.88,1.02517,0.54879,1.12944,0.9089,0.86395,0.94274,0.55106,1.52255,0.71483,1.42899,5.96e-05,5.96e-05,5.96e-05
100,1114.92,1.03348,0.57738,1.12516,0.90103,0.87075,0.94186,0.54424,1.51992,0.71697,1.4247,3.98e-05,3.98e-05,3.98e-05
